"ID","REFERENCE","ORDER_DATE","SUPPLIER_ID","TOTAL_AMOUNT","DESCRIPTION","STATUS"
767,PO014-1,2022-09-15 00:00:00.000,98,,FAN UNIT x 20,Cancelled
768,PO014-1,2022-09-15 00:00:00.000,111,,FAN UNIT x 20,Cancelled
769,PO014-2,2022-09-15 00:00:00.000,121,,COOLER MASTER SEIDON120V V3 PLUS WATER-COOLING KIT x 5,Received
770,PO014-3,2022-09-15 00:00:00.000,108,,GENIUS MEDIA POINTER 900BT x 3,Received
771,PO014-3,2022-09-15 00:00:00.000,95,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
772,PO014-3,2022-09-15 00:00:00.000,111,,ASUS H110M-A (INTEL H110) DDR4 LGA1151 MATX x 4,Received
773,PO014-4,2022-09-15 00:00:00.000,108,,ASUS H81M-A (INTEL H81) LGA1150 MATX x 2,Received
774,PO014-4,2022-09-15 00:00:00.000,111,,ASUS H81M-A (INTEL H81) LGA1150 MATX x 2,Received
775,PO014-4,2022-09-15 00:00:00.000,124,,HP ADVANTAGE 4535 ALL-IN-ONE INKJET PRINTER,Received
776,PO014-5,2022-09-15 00:00:00.000,98,,HP OFFICEJET PRO 6830 E-ALL-IN-ONE PRINTER,Received
777,PO014-5,2022-09-15 00:00:00.000,108,,HP OFFICEJET PRO 6830 E-ALL-IN-ONE PRINTER,Received
778,PO001,2022-01-03 00:00:00.000,118,,Vehicle Spare parts,Closed
779,PO001-1,2022-01-03 00:00:00.000,94,,Back lights,Received
780,PO001-2,2022-01-03 00:00:00.000,105,,Spark plug,Received
781,PO002,2022-01-10 00:00:00.000,129,750000,Purchase of Car,Open
782,PO003-3,2022-01-24 00:00:00.000,108,,"Screens 15""",Received
783,PO001-3,2022-01-03 00:00:00.000,107,,Fuel filter,Received
784,PO001-3,2022-01-03 00:00:00.000,120,,Fuel filter,Received
785,PO004,2022-02-07 00:00:00.000,114,6800,Purchase of Stationeries,Closed
786,PO005,2022-04-07 00:00:00.000,93,21000,International Magazines,Closed
787,PO003-4,2022-01-24 00:00:00.000,95,,"Screens 35""",Received
788,PO004-3,2022-02-07 00:00:00.000,114,3000,Paper reams,Received
789,PO005-3,2022-04-07 00:00:00.000,93,,Science world,Received
790,PO005-3,2022-04-07 00:00:00.000,106,,Science world,Received
791,PO001-5,2022-01-03 00:00:00.000,120,,Brake disc,Received
792,PO001-6,2022-01-03 00:00:00.000,92,,Axle,Received
793,PO001-6,2022-01-03 00:00:00.000,120,,Axle,Received
794,PO007,2022-06-03 00:00:00.000,126,26700,Taxi services fees,Closed
795,PO007,2022-06-03 00:00:00.000,130,26700,Taxi services fees,Closed
796,PO009,2022-06-18 00:00:00.000,99,36800,Security vests,Open
797,PO010-2,2022-07-03 00:00:00.000,102,,Starter capacitor x 2000,Received
798,PO010-3,2022-07-03 00:00:00.000,102,,Block connector universal x 200,Received
799,PO010-3,2022-07-03 00:00:00.000,115,,Block connector universal x 200,Received
800,PO010-3,2022-07-03 00:00:00.000,128,,Block connector universal x 200,Received
801,PO011,2022-07-06 00:00:00.000,114,43200,Purchase of Stationeries,Closed
802,PO011,2022-07-06 00:00:00.000,127,43200,Purchase of Stationeries,Closed
803,PO008-2,2022-06-05 00:00:00.000,110,,"10 Motherboard Asus PRIME Z270-A",Received
804,PO012,2022-08-16 00:00:00.000,118,265000,Vehicle Spare parts,Open
805,PO012-1,2022-08-16 00:00:00.000,94,,Aluminium evaporator x 15,Received
806,PO006-1,2022-02-16 00:00:00.000,122,,Packet 4,Received
807,PO012-1,2022-08-16 00:00:00.000,120,,Wheels and balancing,Received
808,PO012-2,2022-08-16 00:00:00.000,92,,Servicing of cars,Received
809,PO012-2,2022-08-16 00:00:00.000,92,,Rear door + repair,Received
810,PO012-2,2022-08-16 00:00:00.000,105,,Rear door + repair,Received
811,PO012-3,2022-08-16 00:00:00.000,118,,High pressure fuel injector nozzle OEM x 10,Received
812,PO012-4,2022-08-16 00:00:00.000,105,,Air suspension compressor x 3,Received
813,PO012-4,2022-08-16 00:00:00.000,120,,Air suspension compressor x 3,Received
814,PO012-5,2022-08-16 00:00:00.000,118,,Aluminium alloy set x 5,Received
815,PO012-5,2022-08-16 00:00:00.000,118,,Master brake x 12,Received
816,PO006-1,2022-02-16 00:00:00.000,109,,Packet 5,Received
817,PO013-2,2022-08-20 00:00:00.000,103,,Audi Q7,Received
818,PO013-3,2022-08-20 00:00:00.000,116,,Chevrolet Equinox,Received
819,PO006-1,2022-02-16 00:00:00.000,122,,Packet 6,Received
820,PO007-1,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Received
821,PO007-1,2022-06-03 00:00:00.000,104,,Employee journey taxi service,Received
822,PO007-1,2022-06-03 00:00:00.000,113,,Employee journey taxi service,Received
823,PO007-2,2022-06-03 00:00:00.000,104,,Employee journey taxi service,Received
824,PO007-2,2022-06-03 00:00:00.000,113,,Employee journey taxi service,Received
825,PO007-2,2022-06-03 00:00:00.000,117,,Employee journey taxi service,Received
826,PO007-3,2022-06-03 00:00:00.000,104,,Employee journey taxi service,Cancelled
827,PO007-4,2022-06-03 00:00:00.000,104,,Employee journey taxi service,Received
828,PO007-4,2022-06-03 00:00:00.000,113,,Employee journey taxi service,Received
829,PO007-5,2022-06-03 00:00:00.000,113,,Employee journey taxi service,Received
830,PO014-2,2022-09-15 00:00:00.000,108,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
831,PO014-4,2022-09-15 00:00:00.000,95,,"3TB SATA HARD DISK x 4",Received
832,PO014-1,2022-09-15 00:00:00.000,95,,FAN UNIT x 20,Cancelled
833,PO014-2,2022-09-15 00:00:00.000,111,,VIEWSONIC PJD5155 PROJECTOR,Received
834,PO014-3,2022-09-15 00:00:00.000,111,,GENIUS MEDIA POINTER 900BT x 3,Received
835,PO014-4,2022-09-15 00:00:00.000,98,,HP ADVANTAGE 4535 ALL-IN-ONE INKJET PRINTER,Received
836,PO014-4,2022-09-15 00:00:00.000,98,,HP M277DW WIFI COLOUR LASERJET PRO MFP,Received
837,PO014-4,2022-09-15 00:00:00.000,108,,HP M277DW WIFI COLOUR LASERJET PRO MFP,Received
838,PO014-4,2022-09-15 00:00:00.000,124,,HP M277DW WIFI COLOUR LASERJET PRO MFP,Received
839,PO014-5,2022-09-15 00:00:00.000,98,,EPSON LQ310 DOT MATRIX PRINTER,Received
840,PO001,2022-01-03 00:00:00.000,120,,Vehicle Spare parts,Closed
841,PO001-2,2022-01-03 00:00:00.000,92,,Spark plug,Received
842,PO001-2,2022-01-03 00:00:00.000,107,,Spark plug,Received
843,PO002,2022-01-10 00:00:00.000,116,750000,Purchase of Car,Open
844,PO003,2022-01-24 00:00:00.000,108,57300,Computer screens,Closed
845,PO003-3,2022-01-24 00:00:00.000,98,,"Screens 15""",Received
846,PO003-3,2022-01-24 00:00:00.000,111,,"Screens 15""",Received
847,PO001-3,2022-01-03 00:00:00.000,105,,Fuel filter,Received
848,PO005,2022-04-07 00:00:00.000,119,21000,International Magazines,Closed
849,PO005-2,2022-04-07 00:00:00.000,106,,Science world,Received
850,PO004-4,2022-02-07 00:00:00.000,127,600,Clips boxes,Cancelled
851,PO001-6,2022-01-03 00:00:00.000,118,,Axle,Received
852,PO006-1,2022-02-16 00:00:00.000,109,,Packet 1,Received
853,PO007,2022-06-03 00:00:00.000,117,26700,Taxi services fees,Closed
854,PO010-1,2022-07-03 00:00:00.000,102,,Electronic Component Lead 2000 Kgs,Received
855,PO010-1,2022-07-03 00:00:00.000,115,,Electronic Component Lead 2000 Kgs,Received
856,PO010-2,2022-07-03 00:00:00.000,115,,Aluminium LED PCB Assemblies x 100,Received
857,PO008-2,2022-06-05 00:00:00.000,97,,"10 Motherboard Asus PRIME Z270-A",Received
858,PO006-1,2022-02-16 00:00:00.000,109,,Packet 3,Received
859,PO012,2022-08-16 00:00:00.000,107,265000,Vehicle Spare parts,Open
860,PO006-1,2022-02-16 00:00:00.000,96,,Packet 4,Received
861,PO012-1,2022-08-16 00:00:00.000,105,,Wheels and balancing,Received
862,PO012-2,2022-08-16 00:00:00.000,107,,Servicing of cars,Received
863,PO012-2,2022-08-16 00:00:00.000,105,,Dashboard for cards,Received
864,PO012-2,2022-08-16 00:00:00.000,120,,Dashboard for cards,Received
865,PO012-3,2022-08-16 00:00:00.000,94,,High pressure fuel injector nozzle OEM x 10,Received
866,PO012-3,2022-08-16 00:00:00.000,105,,High pressure fuel injector nozzle OEM x 10,Received
867,PO012-5,2022-08-16 00:00:00.000,92,,Aluminium alloy set x 5,Received
868,PO012-5,2022-08-16 00:00:00.000,107,,Aluminium alloy set x 5,Received
869,PO012-5,2022-08-16 00:00:00.000,120,,Master brake x 12,Received
870,PO013,2022-08-20 00:00:00.000,103,,Purchase of Cars,Closed
871,PO013-1,2022-08-20 00:00:00.000,129,,Audi Q5,Received
872,PO013-4,2022-08-20 00:00:00.000,103,,Hyundai Tucson,Received
873,PO007-3,2022-06-03 00:00:00.000,113,,Employee journey taxi service,Cancelled
874,PO007-5,2022-06-03 00:00:00.000,130,,Employee journey taxi service,Received
875,PO014-2,2022-09-15 00:00:00.000,95,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
876,PO014-4,2022-09-15 00:00:00.000,98,,"3TB SATA HARD DISK x 4",Received
877,PO014-5,2022-09-15 00:00:00.000,111,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
878,PO014-3,2022-09-15 00:00:00.000,124,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
879,PO014-3,2022-09-15 00:00:00.000,124,,ASUS B150M-K DDR4 (INTEL B150) LGA1151 MATX x 2,Received
880,PO014-4,2022-09-15 00:00:00.000,95,,ASUS H81M-A (INTEL H81) LGA1150 MATX x 2,Received
881,PO014-4,2022-09-15 00:00:00.000,124,,ASUS H81M-A (INTEL H81) LGA1150 MATX x 2,Received
882,PO014-4,2022-09-15 00:00:00.000,111,,HP ADVANTAGE 4535 ALL-IN-ONE INKJET PRINTER,Received
883,PO014-4,2022-09-15 00:00:00.000,111,,HP M277DW WIFI COLOUR LASERJET PRO MFP,Received
884,PO014-5,2022-09-15 00:00:00.000,108,,EPSON LQ310 DOT MATRIX PRINTER,Received
885,PO014-5,2022-09-15 00:00:00.000,98,,LENOVO B50-30 x 5,Received
886,PO014-5,2022-09-15 00:00:00.000,124,,LENOVO B50-30 x 5,Received
887,PO014-5,2022-09-15 00:00:00.000,121,,DELL N3543 CORE i5 x 3,Cancelled
888,PO001,2022-01-03 00:00:00.000,94,,Vehicle Spare parts,Closed
889,PO001-1,2022-01-03 00:00:00.000,105,,Back lights,Received
890,PO001-1,2022-01-03 00:00:00.000,107,,Back lights,Received
891,PO002,2022-01-10 00:00:00.000,103,750000,Purchase of Car,Open
892,PO002-1,2022-01-10 00:00:00.000,129,,Purchase of Car Model X,Received
893,PO003,2022-01-24 00:00:00.000,124,57300,Computer screens,Closed
894,PO003-2,2022-01-24 00:00:00.000,121,,"Screens 35""",Received
895,PO003-2,2022-01-24 00:00:00.000,124,,"Screens 35""",Received
896,PO003-3,2022-01-24 00:00:00.000,95,,"Screens 15""",Received
897,PO003-3,2022-01-24 00:00:00.000,121,,"Screens 15""",Received
898,PO001-3,2022-01-03 00:00:00.000,92,,Fuel filter,Received
899,PO004-1,2022-02-07 00:00:00.000,127,,Pen Parker blue,Received
900,PO001-4,2022-01-03 00:00:00.000,94,,Air filter,Received
901,PO003-4,2022-01-24 00:00:00.000,98,,"Screens 35""",Received
902,PO006-1,2022-02-16 00:00:00.000,122,,Packet 1,Received
903,PO007,2022-06-03 00:00:00.000,113,26700,Taxi services fees,Closed
904,PO008,2022-06-05 00:00:00.000,110,85200,Orders of computer spare parts,Open
905,PO009-1,2022-06-18 00:00:00.000,99,,Security vests for firewardens,Received
906,PO010-1,2022-07-03 00:00:00.000,115,,Air Conditioner Fan Capacitor x 1000,Received
907,PO008-1,2022-06-05 00:00:00.000,123,,"10 HDDs 3TB",Received
908,PO012,2022-08-16 00:00:00.000,105,265000,Vehicle Spare parts,Open
909,PO012,2022-08-16 00:00:00.000,120,265000,Vehicle Spare parts,Open
910,PO012-1,2022-08-16 00:00:00.000,107,,Aluminium evaporator x 15,Received
911,PO012-1,2022-08-16 00:00:00.000,94,,Wheels and balancing,Received
912,PO012-2,2022-08-16 00:00:00.000,92,,Dashboard for cards,Received
913,PO012-3,2022-08-16 00:00:00.000,92,,High pressure fuel injector nozzle OEM x 10,Received
914,PO012-3,2022-08-16 00:00:00.000,120,,High pressure fuel injector nozzle OEM x 10,Received
915,PO012-5,2022-08-16 00:00:00.000,105,,Aluminium alloy set x 5,Received
916,PO012-5,2022-08-16 00:00:00.000,120,,Aluminium alloy set x 5,Received
917,PO012-5,2022-08-16 00:00:00.000,94,,Master brake x 12,Received
918,PO012-5,2022-08-16 00:00:00.000,107,,Master brake x 12,Received
919,PO013-4,2022-08-20 00:00:00.000,116,,Hyundai Tucson,Received
920,PO007-1,2022-06-03 00:00:00.000,126,,Employee journey taxi service,Received
921,PO007-4,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Received
922,PO007-4,2022-06-03 00:00:00.000,117,,Employee journey taxi service,Received
923,PO007-4,2022-06-03 00:00:00.000,126,,Employee journey taxi service,Received
924,PO006-1,2022-02-16 00:00:00.000,122,,Packet 2,Received
925,PO014,2022-09-15 00:00:00.000,121,,Purchases of Digital equipment,Open
926,PO014-1,2022-09-15 00:00:00.000,111,,"2.5 EXTERNAL TOSHIBA 1TB HARD DISK USB 3.0 x 2",Received
927,PO014-3,2022-09-15 00:00:00.000,95,,NOTEBOOK SATA HDD - 500 GB x 5,Received
928,PO014-3,2022-09-15 00:00:00.000,98,,NOTEBOOK SATA HDD - 500 GB x 5,Received
929,PO014-2,2022-09-15 00:00:00.000,98,,VIEWSONIC PJD5155 PROJECTOR,Received
930,PO014-2,2022-09-15 00:00:00.000,95,,COOLER MASTER SEIDON120V V3 PLUS WATER-COOLING KIT x 5,Received
931,PO014-3,2022-09-15 00:00:00.000,111,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
932,PO014-3,2022-09-15 00:00:00.000,124,,ASUS H110M-A (INTEL H110) DDR4 LGA1151 MATX x 4,Received
933,PO014-3,2022-09-15 00:00:00.000,121,,ASUS B150M-K DDR4 (INTEL B150) LGA1151 MATX x 2,Received
934,PO014-4,2022-09-15 00:00:00.000,95,,HP ADVANTAGE 4535 ALL-IN-ONE INKJET PRINTER,Received
935,PO014-4,2022-09-15 00:00:00.000,121,,HP M277DW WIFI COLOUR LASERJET PRO MFP,Received
936,PO014-5,2022-09-15 00:00:00.000,111,,HP OFFICEJET PRO 6830 E-ALL-IN-ONE PRINTER,Received
937,PO014-5,2022-09-15 00:00:00.000,95,,EPSON LQ310 DOT MATRIX PRINTER,Received
938,PO014-5,2022-09-15 00:00:00.000,111,,LENOVO B50-30 x 5,Received
939,PO014-5,2022-09-15 00:00:00.000,95,,DELL N3543 CORE i5 x 3,Cancelled
940,PO014-5,2022-09-15 00:00:00.000,98,,DELL N3543 CORE i5 x 3,Cancelled
941,PO014-5,2022-09-15 00:00:00.000,111,,DELL N3543 CORE i5 x 3,Cancelled
942,PO001-2,2022-01-03 00:00:00.000,118,,Spark plug,Received
943,PO002-1,2022-01-10 00:00:00.000,116,,Purchase of Car Model X,Received
944,PO003,2022-01-24 00:00:00.000,98,57300,Computer screens,Closed
945,PO003,2022-01-24 00:00:00.000,121,57300,Computer screens,Closed
946,PO003-1,2022-01-24 00:00:00.000,121,,"Screens 22""",Received
947,PO003-1,2022-01-24 00:00:00.000,124,,"Screens 22""",Received
948,PO003-2,2022-01-24 00:00:00.000,98,,"Screens 35""",Received
949,PO003-2,2022-01-24 00:00:00.000,108,,"Screens 35""",Received
950,PO004-2,2022-02-07 00:00:00.000,114,,Pencil HB boxes,Received
951,PO005,2022-04-07 00:00:00.000,106,21000,International Magazines,Closed
952,PO005-1,2022-04-07 00:00:00.000,93,,National geo nature,Received
953,PO003-4,2022-01-24 00:00:00.000,108,,"Screens 35""",Received
954,PO003-4,2022-01-24 00:00:00.000,124,,"Screens 35""",Received
955,PO001-5,2022-01-03 00:00:00.000,94,,Brake disc,Received
956,PO001-6,2022-01-03 00:00:00.000,94,,Axle,Received
957,PO006,2022-02-16 00:00:00.000,96,250000,Stationery orders,Open
958,PO007,2022-06-03 00:00:00.000,104,26700,Taxi services fees,Closed
959,PO008,2022-06-05 00:00:00.000,123,85200,Orders of computer spare parts,Open
960,PO010,2022-07-03 00:00:00.000,115,,Electronic spare parts,Closed
961,PO010-1,2022-07-03 00:00:00.000,128,,Electronic Component Lead 2000 Kgs,Received
962,PO006-1,2022-02-16 00:00:00.000,96,,Packet 3,Received
963,PO011-2,2022-07-06 00:00:00.000,114,,Organizers x 200,Received
964,PO008-2,2022-06-05 00:00:00.000,97,,Seagate Barracuda 2TB SATA Hard Drive,Received
965,PO012-1,2022-08-16 00:00:00.000,107,,Wheels and balancing,Received
966,PO012-1,2022-08-16 00:00:00.000,131,,Wheels and balancing,Received
967,PO012-2,2022-08-16 00:00:00.000,105,,Servicing of cars,Received
968,PO012-2,2022-08-16 00:00:00.000,131,,Servicing of cars,Received
969,PO012-2,2022-08-16 00:00:00.000,94,,Rear door + repair,Received
970,PO012-5,2022-08-16 00:00:00.000,131,,Master brake x 12,Received
971,PO013,2022-08-20 00:00:00.000,116,,Purchase of Cars,Closed
972,PO006-1,2022-02-16 00:00:00.000,109,,Packet 6,Received
973,PO007-1,2022-06-03 00:00:00.000,117,,Employee journey taxi service,Received
974,PO007-2,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Received
975,PO007-3,2022-06-03 00:00:00.000,126,,Employee journey taxi service,Cancelled
976,PO007-5,2022-06-03 00:00:00.000,104,,Employee journey taxi service,Received
977,PO007-5,2022-06-03 00:00:00.000,117,,Employee journey taxi service,Received
978,PO006-1,2022-02-16 00:00:00.000,135,,Packet 2,Received
979,PO014,2022-09-15 00:00:00.000,124,,Purchases of Digital equipment,Open
980,PO014-2,2022-09-15 00:00:00.000,98,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
981,PO014-2,2022-09-15 00:00:00.000,121,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
982,PO014-4,2022-09-15 00:00:00.000,108,,"3TB SATA HARD DISK x 4",Received
983,PO014-4,2022-09-15 00:00:00.000,121,,"3TB SATA HARD DISK x 4",Received
984,PO014-5,2022-09-15 00:00:00.000,108,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
985,PO014-1,2022-09-15 00:00:00.000,108,,FAN UNIT x 20,Cancelled
986,PO014-1,2022-09-15 00:00:00.000,95,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
987,PO014-1,2022-09-15 00:00:00.000,108,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
988,PO014-1,2022-09-15 00:00:00.000,137,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
989,PO014-2,2022-09-15 00:00:00.000,95,,VIEWSONIC PJD5155 PROJECTOR,Received
990,PO014-2,2022-09-15 00:00:00.000,134,,VIEWSONIC PJD5155 PROJECTOR,Received
991,PO014-3,2022-09-15 00:00:00.000,137,,GENIUS MEDIA POINTER 900BT x 3,Received
992,PO014-3,2022-09-15 00:00:00.000,137,,ASUS H110M-A (INTEL H110) DDR4 LGA1151 MATX x 4,Received
993,PO014-3,2022-09-15 00:00:00.000,95,,ASUS B150M-K DDR4 (INTEL B150) LGA1151 MATX x 2,Received
994,PO014-3,2022-09-15 00:00:00.000,137,,ASUS B150M-K DDR4 (INTEL B150) LGA1151 MATX x 2,Received
995,PO014-4,2022-09-15 00:00:00.000,121,,HP ADVANTAGE 4535 ALL-IN-ONE INKJET PRINTER,Received
996,PO014-4,2022-09-15 00:00:00.000,95,,HP M277DW WIFI COLOUR LASERJET PRO MFP,Received
997,PO014-5,2022-09-15 00:00:00.000,95,,HP OFFICEJET PRO 6830 E-ALL-IN-ONE PRINTER,Received
998,PO014-5,2022-09-15 00:00:00.000,121,,EPSON LQ310 DOT MATRIX PRINTER,Received
999,PO014-5,2022-09-15 00:00:00.000,124,,EPSON LQ310 DOT MATRIX PRINTER,Received
1000,PO014-5,2022-09-15 00:00:00.000,95,,LENOVO B50-30 x 5,Received
1001,PO014-5,2022-09-15 00:00:00.000,108,,LENOVO B50-30 x 5,Received
1002,PO014-5,2022-09-15 00:00:00.000,134,,LENOVO B50-30 x 5,Received
1003,PO014-5,2022-09-15 00:00:00.000,124,,DELL N3543 CORE i5 x 3,Cancelled
1004,PO001,2022-01-03 00:00:00.000,105,,Vehicle Spare parts,Closed
1005,PO001,2022-01-03 00:00:00.000,107,,Vehicle Spare parts,Closed
1006,PO001-1,2022-01-03 00:00:00.000,118,,Back lights,Received
1007,PO001-1,2022-01-03 00:00:00.000,133,,Back lights,Received
1008,PO001-2,2022-01-03 00:00:00.000,94,,Spark plug,Received
1009,PO003,2022-01-24 00:00:00.000,111,57300,Computer screens,Closed
1010,PO003-1,2022-01-24 00:00:00.000,98,,"Screens 22""",Received
1011,PO003-3,2022-01-24 00:00:00.000,124,,"Screens 15""",Received
1012,PO004,2022-02-07 00:00:00.000,127,6800,Purchase of Stationeries,Closed
1013,PO004-1,2022-02-07 00:00:00.000,101,,Pen Parker blue,Received
1014,PO004-2,2022-02-07 00:00:00.000,127,,Pencil HB boxes,Received
1015,PO001-4,2022-01-03 00:00:00.000,120,,Air filter,Received
1016,PO001-4,2022-01-03 00:00:00.000,131,,Air filter,Received
1017,PO005-2,2022-04-07 00:00:00.000,93,,Science world,Received
1018,PO004-3,2022-02-07 00:00:00.000,127,3000,Paper reams,Received
1019,PO004-4,2022-02-07 00:00:00.000,114,600,Clips boxes,Cancelled
1020,PO009,2022-06-18 00:00:00.000,112,36800,Security vests,Open
1021,PO010,2022-07-03 00:00:00.000,141,,Electronic spare parts,Closed
1022,PO010-1,2022-07-03 00:00:00.000,141,,Electronic Component Lead 2000 Kgs,Received
1023,PO010-1,2022-07-03 00:00:00.000,128,,Air Conditioner Fan Capacitor x 1000,Received
1024,PO010-2,2022-07-03 00:00:00.000,102,,Aluminium LED PCB Assemblies x 100,Received
1025,PO010-2,2022-07-03 00:00:00.000,128,,Starter capacitor x 2000,Received
1026,PO011,2022-07-06 00:00:00.000,140,43200,Purchase of Stationeries,Closed
1027,PO011-1,2022-07-06 00:00:00.000,114,,Staplers Heavy duty x 10,Received
1028,PO011-1,2022-07-06 00:00:00.000,127,,Staplers Heavy duty x 10,Received
1029,PO012,2022-08-16 00:00:00.000,94,265000,Vehicle Spare parts,Open
1030,PO012-1,2022-08-16 00:00:00.000,105,,Aluminium evaporator x 15,Received
1031,PO006-1,2022-02-16 00:00:00.000,109,,Packet 4,Received
1032,PO008-2,2022-06-05 00:00:00.000,123,,Seagate Barracuda 2TB SATA Hard Drive,Received
1033,PO012-2,2022-08-16 00:00:00.000,118,,Servicing of cars,Received
1034,PO012-2,2022-08-16 00:00:00.000,120,,Servicing of cars,Received
1035,PO012-2,2022-08-16 00:00:00.000,107,,Dashboard for cards,Received
1036,PO012-2,2022-08-16 00:00:00.000,118,,Dashboard for cards,Received
1037,PO012-4,2022-08-16 00:00:00.000,94,,Air suspension compressor x 3,Received
1038,PO012-4,2022-08-16 00:00:00.000,131,,Air suspension compressor x 3,Received
1039,PO013-1,2022-08-20 00:00:00.000,103,,Audi Q5,Received
1040,PO013-2,2022-08-20 00:00:00.000,116,,Audi Q7,Received
1041,PO013-2,2022-08-20 00:00:00.000,129,,Audi Q7,Received
1042,PO013-3,2022-08-20 00:00:00.000,103,,Chevrolet Equinox,Received
1043,PO007-1,2022-06-03 00:00:00.000,130,,Employee journey taxi service,Received
1044,PO007-3,2022-06-03 00:00:00.000,100,,Employee journey taxi service,Cancelled
1045,PO007-3,2022-06-03 00:00:00.000,130,,Employee journey taxi service,Cancelled
1046,PO007-5,2022-06-03 00:00:00.000,139,,Employee journey taxi service,Received
1047,PO006-1,2022-02-16 00:00:00.000,96,,Packet 2,Received
1048,PO014,2022-09-15 00:00:00.000,95,,Purchases of Digital equipment,Open
1049,PO014,2022-09-15 00:00:00.000,134,,Purchases of Digital equipment,Open
1050,PO014-1,2022-09-15 00:00:00.000,108,,"2.5 EXTERNAL TOSHIBA 1TB HARD DISK USB 3.0 x 2",Received
1051,PO014-2,2022-09-15 00:00:00.000,124,,"2.5 EXTERNAL TOSHIBA 2TB HARD DISK USB 3.0 x 3",Received
1052,PO014-3,2022-09-15 00:00:00.000,111,,NOTEBOOK SATA HDD - 500 GB x 5,Received
1053,PO014-3,2022-09-15 00:00:00.000,124,,NOTEBOOK SATA HDD - 500 GB x 5,Received
1054,PO014-5,2022-09-15 00:00:00.000,98,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
1055,PO014-5,2022-09-15 00:00:00.000,121,,WESTERN DIGITAL USB 3.0 EXTERNAL HARD DISK 3.5 4TB x 2,Received
1056,PO014-1,2022-09-15 00:00:00.000,98,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
1057,PO014-1,2022-09-15 00:00:00.000,121,,EPSON EB-S31 3LCD PROJECTOR x 3,Received
1058,PO014-2,2022-09-15 00:00:00.000,98,,COOLER MASTER SEIDON120V V3 PLUS WATER-COOLING KIT x 5,Received
1059,PO014-3,2022-09-15 00:00:00.000,98,,GENIUS MEDIA POINTER 900BT x 3,Received
1060,PO014-3,2022-09-15 00:00:00.000,121,,GENIUS MEDIA POINTER 900BT x 3,Received
1061,PO014-3,2022-09-15 00:00:00.000,108,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
1062,PO014-3,2022-09-15 00:00:00.000,121,,USB WIRELESS <<T>> LASER POINTER PRESENTER x 2,Received
1063,PO014-3,2022-09-15 00:00:00.000,121,,ASUS H110M-A (INTEL H110) DDR4 LGA1151 MATX x 4,Received
1064,PO014-4,2022-09-15 00:00:00.000,98,,ASUS H81M-A (INTEL H81) LGA1150 MATX x 2,Received
1065,PO014-5,2022-09-15 00:00:00.000,137,,EPSON LQ310 DOT MATRIX PRINTER,Received
1066,PO003-1,2022-01-24 00:00:00.000,108,,"Screens 22""",Received
1067,PO003-2,2022-01-24 00:00:00.000,95,,"Screens 35""",Received
1068,PO003-2,2022-01-24 00:00:00.000,137,,"Screens 35""",Received
1069,PO001-3,2022-01-03 00:00:00.000,118,,Fuel filter,Received
1070,PO004,2022-02-07 00:00:00.000,101,6800,Purchase of Stationeries,Closed
1071,PO004-1,2022-02-07 00:00:00.000,114,,Pen Parker blue,Received
1072,PO004-1,2022-02-07 00:00:00.000,140,,Pen Parker blue,Received
1073,PO001-4,2022-01-03 00:00:00.000,105,,Air filter,Received
1074,PO001-4,2022-01-03 00:00:00.000,133,,Air filter,Received
1075,PO005-1,2022-04-07 00:00:00.000,106,,National geo nature,Received
1076,PO005-1,2022-04-07 00:00:00.000,119,,National geo nature,Received
1077,PO003-4,2022-01-24 00:00:00.000,111,,"Screens 35""",Received
1078,PO004-3,2022-02-07 00:00:00.000,101,3000,Paper reams,Received
1079,PO005-4,2022-04-07 00:00:00.000,106,,Discovery mag,Received
1080,PO005-4,2022-04-07 00:00:00.000,119,,Discovery mag,Received
1081,PO001-5,2022-01-03 00:00:00.000,107,,Brake disc,Received
1082,PO001-5,2022-01-03 00:00:00.000,118,,Brake disc,Received
1083,PO001-6,2022-01-03 00:00:00.000,105,,Axle,Received
1084,PO006-1,2022-02-16 00:00:00.000,96,,Packet 1,Received
